dbn,locationname,school_type,aca_p_13,com_p_13,eng_p_13,saf_p_13,p_q1a,,,,p_q1b,,,,p_q1c,,,,p_q1d,,,,p_q1e,,,,p_q1f,,,,p_q1g,,,,p_q1h,,,,p_q1i,,,,p_q1j,,,,p_q1k,,,,p_q1l,,,,p_q1m,,,,p_q1n,,,,p_q1o,,,,p_q1p,,,,p_q1q,,,,p_q1r,,,,p_q2a,,,,,p_q2b,,,,,p_q2c,,,,,p_q2d,,,,,p_q2e,,,,,p_q2f,,,,,p_q2g,,,,,p_q2h,,,,,p_q2i,,,,,p_q2j,,,,,p_q3a,,,,p_q3b,,,,p_q4a,,,,p_q4b,,,,p_q4c,,,,p_q4d,,,,p_q5a,,,,p_q5b,,,,p_q5c,,,,p_q7a,p_q7b,p_q7c,p_q7d,p_q7e,p_q7f,p_q7g,p_q7h,p_q7i,p_q7j,p_q8,,,,,,,,,,p_q9,,,,p_q10a,,,,p_q10b
12X217,School of Performing Arts,MS,9.05358,9.03012,8.9,9,9.08986,,,,8.96789,,,,9.02523,,,,9.12844,,,,9.06682,,,,9.0711,,,,9.02074,,,,9.11628,,,,8.98618,,,,9.03226,,,,9.04817,,,,9.04378,,,,8.98148,,,,8.90046,,,,8.99083,,,,8.92202,,,,8.81579,,,,8.85366,,,,9,,,,,9.1,,,,,9.1,,,,,8.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.61848,,,,Not Scored,,,,9.13043,,,,9.13835,,,,9.21182,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,9,,,,9.05405,,,,9.16667
12X242,Mott Hall V,MS/HS,8.73993,8.65292,8.2,8.7,8.86946,,,,8.37886,,,,8.29976,,,,8.86905,,,,8.95024,,,,8.64066,,,,8.50719,,,,8.59857,,,,8.32353,,,,8.84752,,,,8.84118,,,,8.7201,,,,8.80668,,,,8.70813,,,,8.83094,,,,8.68452,,,,8.5641,,,,9.08854,,,,8.9,,,,,8.5,,,,,8.7,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.56818,,,,Not Scored,,,,8.71103,,,,8.7561,,,,8.59606,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.78049,,,,8.75,,,,8.52564
12X245,New Day Academy,MS/HS,7.549,7.71558,7.2,7.9,8,,,,7.43902,,,,6.72619,,,,8.09524,,,,8.35526,,,,7.68293,,,,7.5,,,,7.29167,,,,6.25,,,,7.5,,,,7.75,,,,7.9878,,,,7.62195,,,,7.8125,,,,7.86585,,,,7.43902,,,,7.70833,,,,8.18182,,,,7.9,,,,,8,,,,,8.4,,,,,7.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.06579,,,,Not Scored,,,,7.96053,,,,7.4359,,,,7.69737,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.5,,,,7.8125,,,,6.42857
12X248,"Metropolitan High School, The",HS,8.66524,8.83021,8.3,8.6,9.15625,,,,8.70253,,,,8.40625,,,,8.8141,,,,8.86364,,,,9.07051,,,,8.55769,,,,8.78289,,,,8.73418,,,,8.75,,,,8.84615,,,,8.76582,,,,8.875,,,,8.84615,,,,8.89241,,,,8.70253,,,,8.8,,,,9.09091,,,,8.6,,,,,8.5,,,,,8.5,,,,,8.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.09868,,,,Not Scored,,,,9.00641,,,,8.84615,,,,9.02597,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.40909,,,,8.25,,,,7.95455
12X251,Explorations Academy,HS,8.34203,8.38551,8,8.6,8.67978,,,,8.19444,,,,7.78409,,,,8.65169,,,,8.69318,,,,8.59195,,,,8.40909,,,,8.60465,,,,7.64045,,,,8.35227,,,,8.19767,,,,8.38235,,,,8.18182,,,,8.18182,,,,8.11765,,,,8.18966,,,,8.23864,,,,8.58025,,,,8.2,,,,,8.6,,,,,8.8,,,,,9.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,4.63483,,,,Not Scored,,,,8.77976,,,,8.35294,,,,8.61765,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.7963,,,,8.42593,,,,8.14815
12X262,Performance Conservatory High School,HS,7.34268,7.32277,6.9,6.9,7.41228,,,,6.35965,,,,7.01754,,,,7.58929,,,,8,,,,7.59259,,,,7.35849,,,,7.17593,,,,6.29464,,,,7.2807,,,,7.32143,,,,7.2807,,,,7.10526,,,,7.27679,,,,6.83036,,,,7.32143,,,,6.61458,,,,6.41304,,,,7.4,,,,,7.4,,,,,7.4,,,,,6.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.30702,,,,Not Scored,,,,7.87037,,,,7.31481,,,,7.31481,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.66667,,,,8,,,,7.33333
12X267,Bronx Latin,MS/HS,8.55765,8.38283,7.7,8.1,8.6352,,,,7.79639,,,,8.32908,,,,8.55128,,,,8.73711,,,,8.45663,,,,7.96296,,,,8.39947,,,,7.98177,,,,8.60406,,,,8.51523,,,,8.58974,,,,8.44388,,,,8.41837,,,,8.66667,,,,8.5,,,,7.79948,,,,8.02419,,,,8.2,,,,,8.3,,,,,8.3,,,,,7.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,3.86842,,,,Not Scored,,,,8.38083,,,,8.4375,,,,8.51563,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.91026,,,,8.78049,,,,8.17073
12X271,East Bronx Academy for the Future,MS/HS,8.50901,8.35132,8,8.3,8.80952,,,,8.00595,,,,7.95181,,,,8.57143,,,,8.61446,,,,8.45238,,,,8.58824,,,,8.5061,,,,7.77108,,,,8.57595,,,,8.53125,,,,8.32317,,,,8.45238,,,,8.30357,,,,8.55422,,,,8.42262,,,,8.125,,,,8.57143,,,,8.4,,,,,8.4,,,,,8.4,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.9375,,,,Not Scored,,,,8.42262,,,,8.55422,,,,8.80952,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.61111,,,,8.38235,,,,8.38235
12X273,Frederick Douglass Academy V. Middle School,MS,8.5722,8.56989,8.3,8.5,8.74294,,,,8.41292,,,,8.19832,,,,8.91243,,,,8.84831,,,,8.56944,,,,8.34746,,,,8.36648,,,,8.1392,,,,8.57345,,,,8.55556,,,,8.71469,,,,8.40909,,,,8.66573,,,,8.32386,,,,8.22034,,,,8.12893,,,,8.39063,,,,8.7,,,,,8.5,,,,,8.4,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.25155,,,,Not Scored,,,,8.55114,,,,8.65714,,,,8.59195,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.78378,,,,8.78378,,,,8.68056
12X278,Peace and Diversity Academy,HS,8.81015,8.92622,8.5,8.8,8.93902,,,,8.97727,,,,8.80542,,,,8.9875,,,,9.04337,,,,8.93564,,,,8.92308,,,,8.89031,,,,8.71658,,,,8.93041,,,,8.8375,,,,8.82124,,,,8.91026,,,,8.86364,,,,8.91927,,,,8.73057,,,,8.76404,,,,8.77874,,,,8.8,,,,,8.9,,,,,8.9,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.30495,,,,Not Scored,,,,8.92857,,,,8.99752,,,,9.00498,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.75,,,,8.82813,,,,8.18182
12X286,Fannie Lou Hamer Middle School,MS,8.68334,8.96486,8.6,9.1,9.14773,,,,8.86364,,,,8.88889,,,,9.09091,,,,9.11111,,,,8.83333,,,,8.92045,,,,8.83721,,,,8.44444,,,,8.86364,,,,8.72222,,,,8.97727,,,,8.94444,,,,8.72222,,,,8.97727,,,,8.57955,,,,8.43023,,,,8.90244,,,,9.4,,,,,9.1,,,,,9.1,,,,,8.9,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.5,,,,Not Scored,,,,9.05556,,,,9.05556,,,,9.11111,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.92857,,,,7.5,,,,7.85714
12X300,The School of Science and Applied Learning,ES,8.67453,8.93582,8.6,8.9,8.9978,,,,8.8326,,,,8.88514,,,,8.98889,,,,9.02466,,,,8.82222,,,,8.80531,,,,8.87778,,,,8.76697,,,,8.96205,,,,8.96861,,,,8.99336,,,,8.93805,,,,8.93805,,,,8.86667,,,,8.66516,,,,8.79808,,,,8.95122,,,,9.1,,,,,8.9,,,,,8.9,,,,,8.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.59198,,,,Not Scored,,,,8.93665,,,,8.79505,,,,9.05405,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.15476,,,,8.09524,,,,7.92683
12X316,Kappa III,MS,8.71185,8.74533,8.6,8.8,8.93229,,,,8.53403,,,,8.63874,,,,8.98684,,,,8.93979,,,,8.75,,,,8.66935,,,,8.66935,,,,8.63636,,,,8.84921,,,,8.7234,,,,8.7973,,,,8.59043,,,,8.63032,,,,8.61111,,,,8.60811,,,,8.67143,,,,8.77809,,,,8.9,,,,,8.8,,,,,8.7,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.61173,,,,Not Scored,,,,8.79679,,,,8.78989,,,,8.80495,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.79032,,,,8.75,,,,8.51563
12X318,"I.S. X318 Math, Science & Technology Through Arts",MS,8.10757,8.10269,7.6,8,8.34601,,,,7.72031,,,,7.77237,,,,8.48039,,,,8.52941,,,,7.92659,,,,8.02941,,,,8.23589,,,,7.92969,,,,8.23529,,,,8.14706,,,,8.18359,,,,8.13725,,,,8.10547,,,,8.11,,,,7.81746,,,,7.5,,,,7.92222,,,,8.1,,,,,8.3,,,,,8.2,,,,,7.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,4.54832,,,,Not Scored,,,,8.14257,,,,7.75407,,,,8.05328,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.38542,,,,8.31633,,,,8.04348
12X341,Accion Academy,MS,8.55368,8.71002,8.4,8.5,8.94737,,,,8.48404,,,,8.57895,,,,8.95604,,,,8.82022,,,,8.79032,,,,8.47826,,,,8.67978,,,,8.33333,,,,8.67021,,,,8.60526,,,,8.43085,,,,8.72283,,,,8.51648,,,,8.45109,,,,8.20225,,,,8.41176,,,,8.73457,,,,8.4,,,,,8.6,,,,,8.5,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.20238,,,,Not Scored,,,,8.91304,,,,8.67021,,,,8.65591,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.18182,,,,8.97727,,,,8.52273
12X372,Urban Assembly School for Wildlife Conservation,MS/HS,9.16116,9.09505,8.7,9.2,9.13462,,,,8.93701,,,,8.89535,,,,9.25573,,,,9.32171,,,,8.94231,,,,9.17323,,,,9.37008,,,,9.03846,,,,9.44231,,,,9.15385,,,,9.32171,,,,9.16031,,,,9.17308,,,,9.10305,,,,9.12791,,,,9.13386,,,,8.9881,,,,9.2,,,,,9.3,,,,,9.4,,,,,9.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.24,,,,Not Scored,,,,9.10853,,,,9.16667,,,,9.32,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.9,,,,9.03846,,,,9.03846
12X383,Emolior Academy,MS,7.87758,8.08117,7.9,8,8.27806,,,,7.78061,,,,8.0829,,,,8.29487,,,,8.29843,,,,8.20876,,,,7.8836,,,,8.22539,,,,8.05699,,,,8.13776,,,,8.00258,,,,8.12821,,,,8.14103,,,,8.03385,,,,7.95812,,,,7.85156,,,,7.83602,,,,8.24713,,,,8.1,,,,,8,,,,,8,,,,,7.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.49171,,,,Not Scored,,,,8.01316,,,,7.69531,,,,7.87838,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.59259,,,,7.76786,,,,7.5
12X384,Entrada Academy,MS,8.26228,8.55721,8.3,8.5,8.67391,,,,8.36283,,,,8.23661,,,,8.72807,,,,9.0991,,,,8.58108,,,,8.56132,,,,8.43458,,,,8.21429,,,,8.53604,,,,8.39286,,,,8.43182,,,,8.16038,,,,8.39286,,,,8.37838,,,,8.09091,,,,8.36538,,,,8.61386,,,,8.5,,,,,8.6,,,,,8.3,,,,,8.4,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.88095,,,,Not Scored,,,,8.57798,,,,8.41981,,,,8.2619,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.30357,,,,7.94643,,,,7.96296
12X388,Pan American International High School at Monroe,HS,9.24458,9.28105,9,9.2,9.36384,,,,9.12162,,,,9.3,,,,9.43694,,,,9.51136,,,,9.28409,,,,9.14027,,,,9.30995,,,,9.06393,,,,9.23516,,,,9.31306,,,,9.21591,,,,9.46188,,,,9.29545,,,,9.3552,,,,9.34091,,,,9.29054,,,,9.47005,,,,9.1,,,,,9.2,,,,,9.1,,,,,8.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.19037,,,,Not Scored,,,,9.09404,,,,9.02074,,,,9.01376,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,N/A,,,,N/A,,,,N/A
12X428,Learning To Work Yabc At Monroe Academy,YABC,8.55713,8.6982,8.5,8.8,8.73333,,,,8.2,,,,8.56667,,,,9.12162,,,,8.78378,,,,8.83333,,,,8.64865,,,,8.69863,,,,8.93333,,,,9.15541,,,,8.9,,,,9.09722,,,,9.02027,,,,8.85135,,,,8.86667,,,,8.8,,,,8.68056,,,,8.54167,,,,8.9,,,,,9,,,,,8.7,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.5,,,,Not Scored,,,,9.05405,,,,8.86986,,,,8.83562,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7.08333,,,,8,,,,7.5
12X446,Arturo A. Schomburg Satellite Academy Bronx,HST,8.04711,8.04176,8,8,7.97727,,,,7.93182,,,,7.88636,,,,8.00459,,,,8.02273,,,,8.00459,,,,7.90909,,,,8.06818,,,,7.90909,,,,8.09091,,,,8.09091,,,,7.95455,,,,7.95872,,,,7.87383,,,,7.88991,,,,7.84404,,,,7.8125,,,,7.75773,,,,8.1,,,,,8.2,,,,,8,,,,,8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.44595,,,,Not Scored,,,,8.55856,,,,8.4009,,,,8.28829,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,7,,,,8.5,,,,8.5
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,ES,8.66672,8.80548,8.6,8.7,8.97059,,,,8.88614,,,,8.36735,,,,9.01515,,,,9.06915,,,,8.775,,,,8.71212,,,,8.92473,,,,8.53535,,,,8.675,,,,8.88021,,,,9.0051,,,,8.63158,,,,8.92857,,,,9.00538,,,,8.62245,,,,8.3908,,,,8.71875,,,,8.9,,,,,8.9,,,,,8.8,,,,,8.5,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.93478,,,,Not Scored,,,,8.61111,,,,8.44388,,,,8.82653,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.55263,,,,8.75,,,,7.94118
12X478,THE CINEMA SCHOOL,HS,8.75178,8.97501,8.5,9,9.19192,,,,8.375,,,,8.65,,,,9.49495,,,,9.56186,,,,8.97959,,,,8.85204,,,,9.01042,,,,8.78788,,,,9.19192,,,,9.15,,,,8.9899,,,,9.15816,,,,9.01515,,,,9.25258,,,,9.15816,,,,8.73684,,,,9.45652,,,,9,,,,,9,,,,,8.8,,,,,8.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.44271,,,,Not Scored,,,,9.05612,,,,8.89175,,,,8.86598,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.05556,,,,8.05556,,,,7.5
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HS,8.18981,8.23799,7.4,7.5,8.92857,,,,8.125,,,,7.76786,,,,8.14815,,,,8.24074,,,,8.125,,,,8.10345,,,,8.36207,,,,7.15517,,,,7.77778,,,,8.14815,,,,8.24074,,,,8.125,,,,8.125,,,,8.26923,,,,8.05556,,,,7.70833,,,,8,,,,6.5,,,,,7.8,,,,,8.4,,,,,7.7,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,3.3,,,,Not Scored,,,,8.24074,,,,7.9,,,,7.5,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.92857,,,,8.57143,,,,8.57143
12X480,Bronx Regional High School,HST,8.4627,8.55313,8.1,8.6,8.46939,,,,8.02083,,,,8.35106,,,,8.80208,,,,9.08163,,,,8.46939,,,,8.67021,,,,8.42391,,,,8.52041,,,,8.41837,,,,8.4375,,,,8.82979,,,,8.67021,,,,8.75,,,,8.41837,,,,8.54167,,,,8.42391,,,,8.92045,,,,7.9,,,,,9,,,,,8.2,,,,,8.6,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.68182,,,,Not Scored,,,,8.64583,,,,8.40426,,,,8.36957,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.4375,,,,8.4375,,,,8.125
12X511,Bronx Envision Academy,HS,8.71185,8.97114,8.5,8.6,9.34783,,,,8.91791,,,,8.71324,,,,9.38406,,,,9.20455,,,,9.20455,,,,8.96154,,,,9.02174,,,,8.64286,,,,9.21642,,,,8.96429,,,,9.0942,,,,8.82353,,,,8.69403,,,,9.05797,,,,8.76812,,,,8.56557,,,,8.91129,,,,8.6,,,,,8.8,,,,,8.4,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,5.88462,,,,Not Scored,,,,8.94928,,,,8.71324,,,,8.82353,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.03571,,,,8.16667,,,,8.16667
12X521,The Metropolitan Soundview High School,HS,8.74042,8.81842,8.2,8.4,9.08088,,,,8.90152,,,,8.58209,,,,8.78788,,,,8.82576,,,,8.78788,,,,8.76866,,,,8.88889,,,,8.58209,,,,9.00735,,,,9.00735,,,,9.09091,,,,8.93939,,,,8.8806,,,,8.78788,,,,8.69403,,,,8.73016,,,,8.60656,,,,8.4,,,,,8.4,,,,,8.6,,,,,8.3,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,4.69697,,,,Not Scored,,,,8.63971,,,,8.58209,,,,8.60294,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.84615,,,,8.46154,,,,8.125
12X531,Archer Elementary School,ECC,9.109,9.18328,8.8,9.1,9.35083,,,,9.25,,,,8.94286,,,,9.25141,,,,9.43642,,,,9.03409,,,,9.00862,,,,9.22965,,,,8.80682,,,,9.26966,,,,9.27143,,,,9.30636,,,,9.07143,,,,9.0767,,,,9.21965,,,,8.65497,,,,8.36478,,,,9.14596,,,,9.1,,,,,9,,,,,9.1,,,,,9.1,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.7193,,,,Not Scored,,,,9.04286,,,,9.20455,,,,9.34911,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,9.07407,,,,9.07407,,,,8.7037
12X536,PS 536,ECC,8.58805,8.70172,8.4,8.5,9.07975,,,,8.75776,,,,8.36478,,,,8.8535,,,,8.80795,,,,8.63208,,,,8.47682,,,,8.64907,,,,8.37025,,,,8.73438,,,,8.78931,,,,8.65506,,,,8.59177,,,,8.60248,,,,8.49057,,,,8.15789,,,,8.27703,,,,8.62245,,,,8.8,,,,,8.4,,,,,8.7,,,,,8.2,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.1129,,,,Not Scored,,,,8.59756,,,,8.64907,,,,8.84494,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,8.33333,,,,8.47222,,,,8.75
12X550,High School of World Cultures,HS,8.81068,8.92604,8.6,8.9,9.06034,,,,8.82759,,,,8.97924,,,,9.08304,,,,9.1059,,,,8.96194,,,,8.72837,,,,8.84549,,,,8.79758,,,,8.7931,,,,8.78448,,,,8.88408,,,,8.91379,,,,8.71951,,,,8.92361,,,,8.88408,,,,8.8986,,,,8.99476,,,,8.9,,,,,8.9,,,,,8.7,,,,,8.8,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.02257,,,,Not Scored,,,,8.86364,,,,8.65789,,,,8.64437,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,,,,,,,,,,N/A,,,,N/A,,,,N/A
