dbn,locationname,school_type,aca_s_13,com_s_13,eng_s_13,saf_s_13,s_q1a,,,,s_q1b,,,,s_q1c,,,,s_q1d,,,,s_q1e,,,,s_q1f,,,,s_q1g,,,,s_q2a,,,,s_q2b,,,,s_q2c,,,,s_q2d,,,,s_q3,,,,s_q4a,,,,s_q4b,,,,s_q4c,,,,s_q4d,,,,s_q4e,,,,s_q4f,,,,s_q4g,,,,s_q4h,,,,s_q4i,,,,s_q4j,,,,s_q4k,,,,s_q5a,,,,,s_q5b,,,,,s_q6a,,,,s_q6b,,,,s_q6c,,,,s_q7a,,,,s_q7b,,,,s_q7c,,,,s_q8f,,,,s_q9a_1,s_q9a_2,s_q9a_3,s_q9a_4,s_q9a_5,s_q9a_6,s_q9b_1,s_q9b_2,s_q9b_3,s_q9b_4,s_q9b_5,s_q9b_6,s_q9c_1,s_q9c_2,s_q9c_3,s_q9c_4,s_q9c_5,s_q9c_6,s_q10a_1,s_q10a_2,s_q10a_3,s_q10a_4,s_q10a_5,s_q10b_1,s_q10b_2,s_q10b_3,s_q10b_4,s_q10b_5,s_q10c_1,s_q10c_2,s_q10c_3,s_q10c_4,s_q10c_5,s_q11a,,,,s_q11b,,,,s_q11c,,,,s_q11d,,,,s_q11e
12X286,Fannie Lou Hamer Middle School,MS,7.85583,7.7368,6.89365,7.00394,8.56021,,,,7.96632,,,,7.5,,,,7.10052,,,,8.13776,,,,5.29639,,,,8.26531,,,,7.92289,,,,7.16837,,,,8.18408,,,,7.3875,,,,N/A,,,,9.2125,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.90657,,,,7.625,,,,7.6625,,,,6.73367,,,,7.94643,,,,7.7875,,,,7.67413,,,,8.40909,,,,,7.12644,,,,,5.35,,,,5.53299,,,,5.88832,,,,6.41414,,,,6.68782,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.8342,,,,5.66919,,,,6.19048,,,,6.93299,,,,8.36294
12X300,The School of Science and Applied Learning,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
12X316,Kappa III,MS,8.72689,8.44596,7.99169,8.12108,9.21655,,,,8.92857,,,,8.47865,,,,8.67021,,,,8.97687,,,,6.58036,,,,8.98014,,,,8.40179,,,,8.08453,,,,8.97321,,,,8.34821,,,,N/A,,,,9.34859,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.30071,,,,8.8125,,,,8.32155,,,,7.38393,,,,9,,,,8.45745,,,,8.4364,,,,8.89216,,,,,7.83333,,,,,6.41228,,,,6.73488,,,,7.09964,,,,7.64085,,,,8.10071,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.63129,,,,7.6444,,,,7.92572,,,,8.35125,,,,9.56679
12X318,"I.S. X318 Math, Science & Technology Through Arts",MS,8.45588,8.23969,7.80146,7.60237,8.91967,,,,8.62117,,,,8.21127,,,,8.1179,,,,8.57542,,,,6.60112,,,,8.91854,,,,8.0571,,,,7.99581,,,,8.78169,,,,8.09456,,,,N/A,,,,9.40972,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.81513,,,,7.96919,,,,7.77235,,,,7.38827,,,,8.52241,,,,8.4507,,,,8.04843,,,,8.82305,,,,,7.55952,,,,,6.11506,,,,6.41117,,,,6.66427,,,,6.98718,,,,7.77221,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.4,,,,6.14731,,,,7.00437,,,,7.60653,,,,9.50142
12X341,Accion Academy,MS,8.5987,8.53724,7.87666,7.47733,9.22101,,,,9.00362,,,,8.69565,,,,8.80597,,,,8.73188,,,,6.73913,,,,9.19708,,,,8.44891,,,,8.03309,,,,8.83212,,,,8.32117,,,,N/A,,,,9.13043,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.07971,,,,8.02536,,,,7.82847,,,,7.5,,,,7.93796,,,,8.46715,,,,7.57407,,,,8.37838,,,,,7.55906,,,,,5.46642,,,,5.86466,,,,6.14504,,,,6.8797,,,,8.15299,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.64552,,,,6.62313,,,,6.89394,,,,7.81716,,,,9.06716
12X372,Urban Assembly School for Wildlife Conservation,MS/HS,7.62478,7.568,6.52147,6.66282,8.26087,,,,8.15821,,,,7.62107,,,,7.79126,,,,7.94082,,,,5.58252,,,,8.17029,,,,7.87349,,,,6.8568,,,,7.96117,,,,7.33537,,,,6.16497,,,,8.69565,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.97942,,,,7.09246,,,,6.89781,,,,5.95267,,,,7.57908,,,,7.20944,,,,6.50367,,,,7.50962,,,,,6.09756,,,,,5.17813,,,,5.29703,,,,5.76923,,,,5.02488,,,,5.67901,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.6,,,,6.85464,,,,6.6199,,,,7.03634,,,,8.54534
12X383,Emolior Academy,MS,8.06265,7.94639,7.28683,6.93243,8.45122,,,,8.07039,,,,8.11576,,,,8.36634,,,,8.5199,,,,6.21324,,,,8.41584,,,,8.02239,,,,7.48744,,,,8.25495,,,,7.35,,,,N/A,,,,9.17073,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.21814,,,,7.59852,,,,7.15517,,,,6.34422,,,,7.9625,,,,7.70101,,,,6.87179,,,,8.55828,,,,,6.47906,,,,,5.01244,,,,5.45685,,,,5.96447,,,,5.98985,,,,6.95707,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.2298,,,,6.69192,,,,6.68367,,,,6.94872,,,,8.62944
12X384,Entrada Academy,MS,7.81318,7.78845,6.90649,6.49349,8.06557,,,,7.93586,,,,7.59967,,,,7.5745,,,,7.81457,,,,6.00166,,,,8.32781,,,,7.73411,,,,7.22128,,,,8.15217,,,,7.34848,,,,N/A,,,,9.05941,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.83993,,,,6.83333,,,,6.41196,,,,6.27483,,,,7.52508,,,,8.03156,,,,7.63652,,,,7.6875,,,,,6.41221,,,,,4.825,,,,5.03333,,,,6.04027,,,,5.09228,,,,6.78209,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.94915,,,,4.85544,,,,6.10445,,,,6.57939,,,,8.37585
12X388,Pan American International High School at Monroe,HS,8.87841,8.83032,8.59647,8.4431,9.11315,,,,8.86433,,,,8.92202,,,,9.3578,,,,8.94495,,,,8.44801,,,,9.04545,,,,8.99096,,,,8.08104,,,,9.0861,,,,8.90578,,,,7.89877,,,,9.43524,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.47727,,,,8.81818,,,,8.46505,,,,7.82774,,,,8.70455,,,,8.57798,,,,8.64048,,,,9.04098,,,,,8.40694,,,,,7.52273,,,,7.86364,,,,8.13253,,,,8.68939,,,,8.93505,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.24312,,,,8.25153,,,,8.47095,,,,8.63497,,,,8.66406
12X428,Learning To Work Yabc At Monroe Academy,YABC,8.77598,8.5845,8.49113,9.03363,9.17763,,,,9,,,,8.5,,,,8.83333,,,,8.68243,,,,7.83333,,,,9.12162,,,,8.51974,,,,8.65132,,,,8.94737,,,,8.68421,,,,8.34459,,,,9.07895,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,9.22078,,,,9.18831,,,,9.22078,,,,8.83117,,,,9.18831,,,,8.73377,,,,8.88158,,,,8.36207,,,,,8.69718,,,,,8.21429,,,,8.21429,,,,7.88961,,,,8.37662,,,,8.38816,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.44079,,,,9.375,,,,9.60526,,,,9.70395,,,,9.53333
12X446,Arturo A. Schomburg Satellite Academy Bronx,HST,8.05092,7.84128,7.51727,8.06297,8.38636,,,,8.44595,,,,8.07339,,,,8.20455,,,,8.51351,,,,7.36486,,,,8.39286,,,,7.90541,,,,7.40909,,,,7.95455,,,,7.59091,,,,7.27679,,,,8.52679,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.34862,,,,8.59091,,,,8,,,,7.47748,,,,8.18182,,,,7.54505,,,,8.18182,,,,7.77397,,,,,7.92929,,,,,6.68981,,,,7.05607,,,,7.21698,,,,7.40654,,,,6.68981,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.96789,,,,8.48624,,,,8.65909,,,,8.58796,,,,8.66667
12X463,URBAN SCHOLARS COMMUNITY SCHOOL,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
12X478,THE CINEMA SCHOOL,HS,8.17839,8.12442,7.42359,7.97909,8.83534,,,,8.37349,,,,8.18725,,,,8.27689,,,,8.01383,,,,6.16466,,,,8.89328,,,,8.61765,,,,7.58824,,,,8.28063,,,,7.88235,,,,7.56863,,,,8.59252,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.16468,,,,8.51961,,,,8.2451,,,,7.66602,,,,7.68555,,,,7.56836,,,,7.78656,,,,8.14327,,,,,7.54386,,,,,6.38235,,,,6.29412,,,,7.06693,,,,8.39286,,,,7.05709,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.71976,,,,8.38,,,,8.22,,,,8.39357,,,,9.47791
12X479,BRONX CAREER AND COLLEGE PREPARATORY HIGH SCHOOL,HS,7.60374,7.75676,6.95217,7.0936,8.01515,,,,7.98485,,,,7.62195,,,,7.78788,,,,7.97546,,,,5.8689,,,,8.12121,,,,8.16358,,,,7.25155,,,,7.82609,,,,7.31366,,,,6.39937,,,,8.64329,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.21212,,,,7.39394,,,,7.22727,,,,6.75758,,,,7.78788,,,,7.48476,,,,7.63636,,,,8.48276,,,,,7.26667,,,,,5.54487,,,,5.1461,,,,5.97039,,,,6.60256,,,,5.94551,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.37662,,,,6.13782,,,,7.12662,,,,7.66234,,,,8.64379
12X480,Bronx Regional High School,HST,7.39638,7.65421,6.41755,7.22481,7.9927,,,,7.42754,,,,7.5365,,,,7.48162,,,,7.22628,,,,5.27574,,,,8,,,,8.22464,,,,6.56934,,,,7.28102,,,,6.69708,,,,6.74632,,,,8.58456,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.42647,,,,7.98148,,,,7.33333,,,,6.58582,,,,7.85185,,,,7.20149,,,,7.38806,,,,7.72152,,,,,6.72018,,,,,5.41667,,,,5.6015,,,,6.52672,,,,6.91729,,,,5.0947,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.61538,,,,7.29008,,,,7.94574,,,,8.48077,,,,8.01923
12X511,Bronx Envision Academy,HS,7.54853,7.9543,6.64648,6.88623,8.18182,,,,8.0303,,,,7.5947,,,,7.53846,,,,8.17308,,,,4.94231,,,,7.91016,,,,8.63462,,,,7,,,,7.71154,,,,7.32955,,,,5.94231,,,,8.48485,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.82692,,,,7.46183,,,,7,,,,6.45038,,,,7.82443,,,,7.63359,,,,6.92308,,,,8.18452,,,,,7.10526,,,,,5.21825,,,,4.8622,,,,6.18321,,,,5.82061,,,,6.27863,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.38,,,,5.91085,,,,7.16535,,,,7.79297,,,,8.49206
12X521,The Metropolitan Soundview High School,HS,8.1985,7.92463,7.16299,7.18261,8.7963,,,,8.44907,,,,8.1713,,,,8.41743,,,,8.37963,,,,6.15741,,,,9.00943,,,,8.36449,,,,7.73364,,,,8.49537,,,,8.34112,,,,7.42925,,,,8.78505,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.68692,,,,8.03738,,,,7.45327,,,,7.12617,,,,7.99065,,,,7.2381,,,,7.45283,,,,7.96296,,,,,7.6699,,,,,4.46602,,,,5.11905,,,,5.88235,,,,6.2381,,,,6.27404,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.35052,,,,6.91919,,,,7.11735,,,,7.95455,,,,8.66162
12X531,Archer Elementary School,ECC,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
12X536,PS 536,ECC,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
12X550,High School of World Cultures,HS,8.19014,8.11324,7.7926,7.87657,8.54839,,,,8.33029,,,,8.33942,,,,8.4767,,,,8.53791,,,,7.98007,,,,8.62727,,,,8.08664,,,,7.33696,,,,8.22842,,,,7.69161,,,,6.85252,,,,8.99107,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,8.05755,,,,8.4319,,,,7.95863,,,,7.21326,,,,7.87409,,,,7.91367,,,,7.52737,,,,7.8202,,,,,7.82443,,,,,6.52091,,,,7.14008,,,,7.61719,,,,7.70992,,,,7.7682,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,9.15698,,,,7.71401,,,,8.32016,,,,8.16406,,,,8.71622
12X682,Fannie Lou Hamer Freedom High School,HS,7.65047,7.70736,6.82968,7.39037,8.35692,,,,7.8481,,,,7.78662,,,,7.57987,,,,7.5974,,,,5.55466,,,,8.17093,,,,7.58786,,,,6.82692,,,,7.8766,,,,7.51603,,,,6.89103,,,,8.34385,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,7.42013,,,,7.88835,,,,7.67516,,,,7.0211,,,,7.84566,,,,7.7476,,,,7.79935,,,,7.80822,,,,,7.19081,,,,,5.90323,,,,6,,,,6.32401,,,,7.31629,,,,6.53846,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.46939,,,,6.94728,,,,7.72034,,,,7.88851,,,,7.79966
12X684,Wings Academy,HS,7.17439,7.1137,6.47983,6.20354,7.93367,,,,7.58249,,,,6.98604,,,,6.81818,,,,7.37913,,,,5.0574,,,,7.70886,,,,7.56297,,,,6.26269,,,,7.44949,,,,6.68159,,,,6.21778,,,,8.45477,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.82278,,,,7.17803,,,,6.52532,,,,6.20865,,,,7.28481,,,,6.79209,,,,6.76209,,,,8.05375,,,,,5.33088,,,,,4.40355,,,,4.38931,,,,5.5179,,,,6.05499,,,,6.20253,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,7.52625,,,,4.89474,,,,6.30577,,,,7.03412,,,,6.95106
12X690,Monroe Academy for Business/Law,HS,7.44283,7.05778,5.8528,6.75216,7.75701,,,,7.35981,,,,6.89252,,,,7.47642,,,,7.07944,,,,4.78571,,,,8.13679,,,,7.75701,,,,6.58019,,,,7.33645,,,,7.1729,,,,7.85714,,,,7.94393,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.69811,,,,7.24057,,,,7.31308,,,,6.54206,,,,6.93396,,,,6.52381,,,,5.57692,,,,6.74242,,,,,5.44737,,,,,5.77103,,,,5.25701,,,,6.30841,,,,5.09434,,,,4.45755,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,8.08411,,,,7.35981,,,,7.78846,,,,8.03738,,,,8.08411
12X691,Bronx Little School,ES,N/A,N/A,N/A,N/A,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,,N/A,,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,N/A,,,,N/A,,,,N/A,,,,N/A,,,,N/A
12X692,Monroe Academy for Visual Arts & Design,HS,6.77993,6.65395,5.83812,6.0648,7.33429,,,,7.03488,,,,6.90058,,,,7.02206,,,,6.99265,,,,4.66276,,,,7.46345,,,,6.92754,,,,5.49133,,,,6.82413,,,,6.11516,,,,5.57081,,,,8.3477,,,,Not Scored,,,,Not Scored,,,,Not Scored,,,,6.55444,,,,7.06178,,,,6.65473,,,,6.2464,,,,7.18567,,,,6.13372,,,,5.95821,,,,7.4026,,,,,5.4852,,,,,3.96501,,,,4.33284,,,,5.0942,,,,5.45129,,,,5.07948,,,,Not Scored,,,,Not Scored,,,,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,Not Scored,6.32883,,,,5.78402,,,,6.42544,,,,6.76901,,,,7.25877
